player_id,pick_number,round,roundPickNumber,team_id
4242335,1,1,1,10
3117251,2,1,2,9
3043078,3,1,3,8
4262921,4,1,4,1
3068267,5,1,5,3
2977187,6,1,6,6
3116593,7,1,7,5
4241457,8,1,8,7
4362628,9,1,9,2
3116385,10,1,10,4
4259545,11,2,1,4
3054850,12,2,2,2
16800,13,2,3,7
15847,14,2,4,5
2976212,15,2,5,6
3128720,16,2,6,3
3929630,17,2,7,1
3042519,18,2,8,8
4361579,19,2,9,9
4240021,20,2,10,10
3116365,21,3,1,10
4241389,22,3,2,9
3116406,23,3,3,8
16737,24,3,4,1
3126486,25,3,5,3
3115364,26,3,6,6
3051392,27,3,7,5
3045147,28,3,8,7
4035687,29,3,9,2
4239993,30,3,10,4
4035538,31,4,1,4
4427366,32,4,2,2
15818,33,4,3,7
4047646,34,4,4,5
4360248,35,4,5,6
3918298,36,4,6,3
3128429,37,4,7,1
3139477,38,4,8,8
4239996,39,4,9,9
4241555,40,4,10,10
4241985,41,5,1,10
3121422,42,5,2,9
4047650,43,5,3,8
4239934,44,5,4,1
2576925,45,5,5,3
3915416,46,5,6,6
3932905,47,5,7,5
3040151,48,5,8,7
3045138,49,5,9,2
4241463,50,5,10,4
3916387,51,6,1,4
4038941,52,6,2,2
3116165,53,6,3,7
16799,54,6,4,5
3917315,55,6,5,6
4372016,56,6,6,3
4036133,57,6,7,1
4047365,58,6,8,8
3915511,59,6,9,9
4374302,60,6,10,10
4372414,61,7,1,10
4360939,62,7,2,9
3925347,63,7,3,8
4569173,64,7,4,1
2976316,65,7,5,3
4045163,66,7,6,6
2976499,67,7,7,5
3120348,68,7,8,7
3117256,69,7,9,2
3121023,70,7,10,4
3059915,71,8,1,4
3119195,72,8,2,2
4379399,73,8,3,7
3916148,74,8,4,5
16731,75,8,5,6
4360294,76,8,6,3
4040715,77,8,7,1
4243537,78,8,8,8
3930086,79,8,9,9
15795,80,8,10,10
4383351,81,9,1,10
4361370,82,9,2,9
16460,83,9,3,8
4697815,84,9,4,1
15880,85,9,5,3
4048244,86,9,6,6
4242214,87,9,7,5
3128390,88,9,8,7
3139925,89,9,9,2
4240600,90,9,10,4
4426502,91,10,1,4
4040655,92,10,2,2
4567048,93,10,3,7
15807,94,10,4,5
2576434,95,10,5,6
15683,96,10,6,3
4360438,97,10,7,1
4046692,98,10,8,8
4430191,99,10,9,9
4039359,100,10,10,10
4426354,101,11,1,10
4360234,102,11,2,9
4241474,103,11,3,8
4361529,104,11,4,1
4040761,105,11,5,3
4052042,106,11,6,6
4360238,107,11,7,5
4241478,108,11,8,7
4241372,109,11,9,2
4373626,110,11,10,4
3895856,111,12,1,4
4567156,112,12,2,2
14881,113,12,3,7
2330,114,12,4,5
4426891,115,12,5,6
15835,116,12,6,3
4361432,117,12,7,1
3051738,118,12,8,8
4240657,119,12,9,9
4249417,120,12,10,10
4361777,121,13,1,10
2577417,122,13,2,9
3116164,123,13,3,8
16757,124,13,4,1
2980453,125,13,5,3
3135321,126,13,6,6
4248528,127,13,7,5
2576414,128,13,8,7
16339,129,13,9,2
3055899,130,13,10,4
8439,131,14,1,4
11237,132,14,2,2
3916433,133,14,3,7
12483,134,14,4,5
14880,135,14,5,6
-16025,136,14,6,3
-16002,137,14,7,1
3045144,138,14,8,8
3916430,139,14,9,9
4569618,140,14,10,10
4249087,141,15,1,10
-16033,142,15,2,9
3917232,143,15,3,8
3051909,144,15,4,1
16725,145,15,5,3
-16007,146,15,6,6
-16011,147,15,7,5
-16018,148,15,8,7
-16005,149,15,9,2
-16028,150,15,10,4
-16014,151,16,1,4
13981,152,16,2,2
10621,153,16,3,7
11122,154,16,4,5
4035886,155,16,5,6
2577327,156,16,6,3
13982,157,16,7,1
-16010,158,16,8,8
3123076,159,16,9,9
-16017,160,16,10,10
